segment,value,n,oracle_value,rt_value,regret,regret_pct,pct_Do Nothing,pct_Retry,pct_Reminder,pct_Alternative Method
amount_bucket,low,3370,571528.469999999,236483.0000000001,335045.4699999989,58.62270868151144,0.48130563798219583,0.1400593471810089,0.3370919881305638,0.04154302670623145
amount_bucket,medium,3500,2355713.5599999996,1001978.0199999999,1353735.5399999996,57.46605032914103,0.46114285714285713,0.15257142857142858,0.3291428571428571,0.05714285714285714
amount_bucket,high,1157,2220346.210000002,915097.7999999999,1305248.410000002,58.78580575053658,0.4641313742437338,0.1616248919619706,0.337942955920484,0.036300777873811585
amount_bucket,very_high,399,2168038.74,811564.11,1356474.6300000004,62.56689998076327,0.41353383458646614,0.19298245614035087,0.3458646616541353,0.047619047619047616
failure_reason,account_frozen,351,199476.99000000008,56792.130000000005,142684.86000000007,71.52948317497673,0.4131054131054131,0.07692307692307693,0.5042735042735043,0.005698005698005698
failure_reason,bank_unavailable,677,802382.0700000005,336795.7300000003,465586.34000000026,58.025516447544746,0.5612998522895125,0.3870014771048744,0.051698670605613,0.0
failure_reason,customer_abandoned,2143,1527874.090000001,608902.0900000005,918972.0000000005,60.147102828348885,0.38590760615958936,0.0,0.6140923938404106,0.0
failure_reason,expired_card,694,590534.4999999997,246268.62999999992,344265.86999999976,58.29733402536177,0.5417867435158501,0.001440922190201729,0.21037463976945245,0.24639769452449567
failure_reason,fraud_suspected,487,371555.9200000004,129609.66999999995,241946.25000000044,65.11704886844494,0.39630390143737165,0.012320328542094456,0.5174537987679672,0.07392197125256673
failure_reason,incorrect_pin,422,393228.8699999998,159818.42000000004,233410.44999999978,59.357404251625745,0.4928909952606635,0.0,0.27014218009478674,0.23696682464454977
failure_reason,insufficient_funds,1008,788895.01,276225.97000000003,512669.04,64.98571210381975,0.4176587301587302,0.04265873015873016,0.48214285714285715,0.057539682539682536
failure_reason,limit_exceeded,539,282158.96999999986,95015.46,187143.50999999983,66.32555753942536,0.3673469387755102,0.10018552875695733,0.4712430426716141,0.061224489795918366
failure_reason,network_timeout,839,990071.5000000017,449914.97999999986,540156.5200000019,54.55732439525841,0.5685339690107271,0.4052443384982122,0.025029797377830752,0.0011918951132300357
failure_reason,technical_decline,1266,1369449.0599999991,605779.8499999994,763669.2099999997,55.76470365389131,0.5631911532385466,0.42417061611374407,0.01263823064770932,0.0
customer_activity_bucket,low,7952,6808354.199999992,2728422.210000004,4079931.9899999877,59.92537800104455,0.4588782696177062,0.1551810865191147,0.33664486921529174,0.04929577464788732
customer_activity_bucket,medium,439,473405.66,230784.97000000012,242620.68999999986,51.25006109981868,0.6013667425968109,0.08200455580865604,0.296127562642369,0.02050113895216401
customer_activity_bucket,high,35,33867.12,5915.75,27951.370000000003,82.53246806932506,0.7142857142857143,0.0,0.2857142857142857,0.0
